   DJI_0979.JPG      8800.000    0
         100222       -5882.946        4219.368       0
         100223       -5767.207        4548.060       0
         100224       -5128.035        4681.080       0
         100225       -4719.634        4277.350       0
         100226       -4502.246        4371.235       0
         100227       -3849.027        4532.618       0
         100228       -2995.816        4521.380       0
         100229       -2627.939        4642.392       0
         100230       -3054.375        4185.208       0
         100231       -1740.202        4371.213       0
         100232       -2114.927        4514.408       0
         100233          45.383        4381.255       0
         100234         515.668        4617.007       0
         100235        1804.753        4520.136       0
         100236        2520.307        4292.781       0
         100237        4639.749        4426.793       0
         100238        3975.255        4182.248       0
         100239        5506.358        4549.033       0
         100240        5660.267        4328.213       0
         100241        6151.613        4502.297       0
         100242       -5588.188        4008.332       0
         100243       -5561.714        3746.555       0
         100244       -3878.232        3735.758       0
         100245       -3107.448        3691.640       0
         100246       -2160.095        3811.730       0
         100247       -2280.459        3654.065       0
         100248        -385.789        3945.706       0
         100249         276.069        3577.585       0
         100250        1265.819        3713.196       0
         100251        2352.623        3681.819       0
         100252        2220.088        3828.668       0
         100253        2433.752        3944.589       0
         100254        2603.458        3593.424       0
         100255        4758.352        3802.537       0
         100256        4602.158        3790.644       0
         100257        5377.121        3682.234       0
         100258        5358.972        3881.348       0
         100259        6052.154        3779.781       0
         100260        5710.409        4012.744       0
         100261       -5756.987        3093.744       0
         100262       -5265.811        3323.888       0
         100263       -4678.310        3511.971       0
         100264       -3183.031        3086.664       0
         100265       -3234.583        3004.035       0
         100266       -2673.893        3462.996       0
         100267       -3093.078        3462.144       0
         100268       -2264.491        3246.973       0
         100269        -128.990        3034.218       0
         100270         331.779        3060.886       0
         100271        1462.155        3348.831       0
         100272        1790.881        3150.191       0
         100273        1789.552        3192.444       0
         100274        2722.461        3469.279       0
         100275        3597.509        3558.141       0
         100276        3589.056        3048.380       0
         100277        4148.322        3292.643       0
         100278        5160.926        3274.614       0
         100279        4873.868        3569.172       0
         100280       -4938.476        2951.335       0
         100281       -5533.330        2807.340       0
         100282       -4185.821        2785.676       0
         100283       -4301.346        2846.978       0
         100284       -3359.264        2839.580       0
         100285       -3840.405        2776.431       0
         100286       -2511.472        2506.690       0
         100287       -2646.427        2636.824       0
         100288       -2096.457        2475.929       0
         100289        -929.173        2640.904       0
         100290       -1002.621        2618.947       0
         100291         127.989        2661.160       0
         100292        1047.878        2939.643       0
         100293        1997.260        2572.689       0
         100294        1724.921        2784.749       0
         100295        3773.129        2861.355       0
         100296        4279.674        2632.750       0
         100297        4873.470        2921.980       0
         100298       -4358.588        2157.958       0
         100299       -3762.347        2175.517       0
         100300       -3815.282        1909.946       0
         100301       -2956.678        1930.139       0
         100302       -3087.003        2069.431       0
         100303       -1082.461        2096.727       0
         100304       -1233.154        1863.831       0
         100305        1452.720        2244.146       0
         100306        1831.801        2237.592       0
         100307        2542.301        1932.024       0
         100308        3101.748        1812.261       0
         100309        3527.589        2126.932       0
         100310        3368.175        2158.141       0
         100311        3711.146        2093.368       0
         100312        4551.248        1897.160       0
         100313        5503.076        2240.785       0
         100314        6138.964        2038.499       0
         100315       -3621.149        1701.353       0
         100316       -3041.133        1333.668       0
         100317        -317.295        1546.130       0
         100318         317.865        1665.581       0
         100319         318.579        1488.687       0
         100321        1767.134        1401.659       0
         100322        3781.074        1534.196       0
         100323        4017.005        1210.941       0
         100324        4828.806        1660.217       0
         100325        6140.086        1507.236       0
         100326       -5766.947         788.870       0
         100327       -5308.844         656.735       0
         100328       -5269.028         795.197       0
         100329       -4677.145         687.909       0
         100330       -4370.531         794.093       0
         100331       -3550.015        1008.628       0
         100332       -1769.290         969.471       0
         100333       -1735.653         999.626       0
         100334       -1282.199         739.238       0
         100335        -230.602         874.780       0
         100336          15.529         707.503       0
         100337        1349.783         605.804       0
         100338        1832.265        1006.982       0
         100339        1778.539         712.998       0
         100340        2392.919         603.676       0
         100341        2583.687         992.998       0
         100342        4226.520         999.469       0
         100343        5536.530         770.847       0
         100344        4936.786         713.039       0
         100345        6264.561        1151.737       0
         100346       -1514.609          62.046       0
         100347        -631.474          99.232       0
         100348         759.376           4.159       0
         100349         596.419         104.103       0
         100350         947.568          87.098       0
         100351        1675.385         581.196       0
         100352        1655.780         232.769       0
         100353        2661.800          79.304       0
         100354        4348.671         477.280       0
