DJI_0979.JPG
100141	4814	1909
100142	4788	1887
100143	437	2260
100144	703	2237
100145	1035	2196
100146	1288	2192
100147	1704	2082
100149	2445	2179
100150	2744	2242
100151	2738	2072
100152	3171	2063
100153	3264	2222
100154	3540	2157
100155	3457	2205
100156	3715	2139
100158	4358	2122
100159	4681	2108
100160	4722	2074
100161	279	2386
100162	349	2353
100163	1485	2335
100164	2121	2368
100165	2030	2360
100166	2140	2292
100167	2456	2425
100168	2875	2501
100169	3137	2280
100170	3395	2345
100171	4029	2481
100172	300	2563
100173	536	2631
100174	687	2636
100175	1102	2588
100176	1298	2637
100177	1397	2694
100178	1645	2529
100179	1817	2677
100180	2691	2657
100181	2870	2532
100182	3123	2688
100183	3213	2718
100184	3360	2607
100185	3887	2684
100186	4156	2693
100187	4263	2685
100188	4765	2608
100189	213	2787
100190	445	2927
100191	637	2954
100192	1776	2862
100193	1947	2827
100194	2222	2851
100195	2445	2757
100196	2615	2781
100197	2957	2927
100198	3327	2881
100199	3460	2942
100200	3764	2761
100201	4200	2749
100202	4180	2804
100203	4319	2837
100204	4505	2867
100205	4684	2847
100206	752	2981
100207	887	3023
100208	1269	2970
100209	1741	2969
100210	2118	3043
100211	2122	2980
100212	2346	2976
100213	2289	2985
100214	2451	2970
100215	2747	3012
100216	3123	3068
100217	3109	3080
100218	3490	2995
100220	4366	3076
100221	4421	3124
100222	177	206
100223	222	80
100224	467	29
100225	623	184
100226	707	148
100227	957	86
100228	1284	90
100229	1425	44
100230	1261	219
100231	1765	148
100232	1621	93
100233	2449	144
100234	2629	54
100235	3123	91
100236	3397	178
100237	4209	126
100238	3955	220
100239	4541	80
100240	4600	164
100241	4788	97
100242	290	287
100243	301	387
100244	946	391
100245	1241	408
100246	1604	362
100247	1558	422
100248	2284	311
100249	2537	452
100250	2916	400
100251	3333	412
100252	3282	356
100253	3364	311
100254	3429	446
100255	4255	366
100256	4195	370
100257	4492	412
100258	4485	335
100259	4750	374
100260	4619	285
100261	226	637
100262	414	549
100263	639	477
100264	1212	640
100265	1192	672
100266	1407	496
100267	1246	496
100268	1564	578
100269	2382	660
100270	2559	650
100271	2992	539
100272	3118	616
100273	3117	599
100274	3475	493
100275	3810	459
100276	3807	655
100277	4021	561
100278	4409	568
100279	4299	455
100280	539	692
100281	311	747
100282	828	755
100283	783	732
100284	1144	735
100285	960	759
100286	1469	862
100287	1418	812
100288	1628	874
100289	2075	811
100290	2047	819
100291	2481	803
100292	2833	696
100293	3197	837
100294	3092	756
100295	3877	726
100296	4071	814
100297	4299	703
100298	762	996
100299	990	989
100300	970	1091
100301	1299	1083
100302	1249	1030
100303	2017	1019
100304	1959	1108
100305	2988	963
100306	3133	965
100307	3406	1082
100308	3620	1128
100309	3783	1008
100310	3722	996
100311	3853	1020
100312	4175	1096
100313	4540	964
100314	4784	1041
100315	1044	1171
100316	1266	1312
100317	2310	1230
100318	2553	1184
100319	2554	1252
100321	3109	1285
100322	3880	1235
100323	3971	1359
100324	4282	1186
100325	4784	1245
100326	222	1520
100327	397	1571
100328	413	1518
100329	639	1559
100330	757	1518
100331	1071	1436
100332	1754	1451
100333	1766	1440
100334	1940	1539
100335	2343	1487
100336	2437	1551
100337	2949	1590
100338	3134	1437
100339	3113	1549
100340	3348	1591
100341	3421	1442
100342	4051	1440
100343	4553	1527
100344	4323	1549
100345	4832	1381
100346	1851	1799
100347	2190	1784
100348	2722	1821
100349	2660	1783
100350	2795	1789
100351	3073	1600
100352	3066	1733
100353	3451	1792
100354	4098	1640
100355	4526	1656
100357	164	2040
100358	179	2045
100359	807	1979
100360	936	1916
100361	1652	2034
100362	1896	2046
100363	2415	1845
100364	2403	1831
100365	2552	2020
100366	2919	1967
100367	2937	1947
100368	3950	1823
100369	4042	1904
100370	4152	1939
100372	209	2132
100373	541	2233
100374	832	2217
100375	963	2130
100376	1294	2115
100377	1773	2097
100378	1844	2143
100379	1912	2233
100380	2419	2196
100381	2583	2130
100382	2543	2263
100383	3698	2153
100384	4036	2089
100385	3956	2060
100386	303	2308
100387	514	2462
100388	635	2499
100389	862	2318
100390	1213	2461
100391	1028	2481
100392	1406	2319
100393	1665	2472
100394	1638	2376
100395	2409	2459
100396	2445	2439
100398	3552	2433
100399	3806	2496
100400	3809	2377
100401	4244	2320
100402	4437	2498
100404	107	2637
100405	352	2614
100406	853	2617
100407	1012	2527
100408	1291	2539
100409	1938	2516
100410	2087	2672
100411	2276	2530
100412	2194	2577
100413	2535	2599
100414	2656	2652
100415	2796	2543
100416	2831	2677
100417	3099	2631
100418	3460	2574
100419	3904	2586
100420	4107	2549
100421	4295	2650
100422	4679	2682
100423	185	2946
100424	575	2920
100425	649	2871
100426	1134	2831
100427	1129	2854
100428	1291	2945
100429	1228	2889
100430	1608	2829
100431	1974	2816
100432	2254	2803
100433	2778	2953
100434	3199	2811
100435	3347	2940
100436	3464	2873
100437	3702	2901
100438	3932	2885
100439	4708	2920
100440	509	2967
100441	1108	3030
100442	1178	3009
100443	1324	2997
100444	1630	3009
100445	2599	2968
100446	2967	2999
100447	4693	2976
100448	4737	3062

-99
DJI_0980.JPG
100001	340	765
100002	237	762
100003	888	738
100004	1084	767
100005	2089	716
100006	2030	707
100007	2660	635
100008	2668	686
100009	3015	693
100010	2943	709
100011	3478	690
100012	3508	547
100013	3794	708
100014	3648	532
100015	3582	610
100016	4436	633
100017	434	813
100018	299	1017
100019	613	921
100020	678	862
100021	934	794
100022	1144	920
100023	1573	820
100024	1992	923
100025	1982	844
100026	2079	798
100027	2397	746
100028	2678	760
100029	3818	726
100030	3800	719
100031	55	1231
100032	305	1261
100033	667	1093
100034	1608	1106
100035	1841	1158
100036	1846	1174
100037	2320	1030
100038	2481	1112
100039	2733	1081
100040	3364	1126
100041	3954	1012
100042	4579	1105
100043	4554	1136
100044	148	1351
100045	1562	1323
100046	1588	1227
100047	2297	1203
100048	2198	1259
100049	2548	1355
100050	2744	1291
100051	3483	1227
100052	3262	1257
100053	3683	1327
100054	3979	1226
100055	4387	1304
100056	4642	1388
100057	4593	1348
100058	343	1613
100059	426	1533
100060	702	1702
100061	1232	1553
100062	1485	1598
100063	1708	1611
100064	2294	1634
100066	2589	1555
100067	2626	1498
100068	2923	1622
100069	3145	1490
100070	4104	1521
100071	4385	1626
100072	4536	1657
100073	725	1720
100074	1044	1719
100075	1186	1857
100076	1719	1682
100077	2038	1831
100078	2355	1727
100079	2949	1771
100080	3036	1681
100081	3468	1853
100082	3443	1749
100083	3701	1682
100084	4127	1662
100085	4438	1789
100087	150	2098
100088	683	2044
100089	980	1980
100090	1433	2110
100091	1304	2107
100092	1478	1945
100093	2016	2033
100094	2322	2118
100095	2381	1948
100096	2498	1982
100097	2486	2067
100098	2845	2027
100099	3770	2102
100100	3614	2117
100101	3979	1956
100102	4199	2116
100103	4555	2057
100104	161	2196
100105	434	2218
100106	387	2218
100107	1117	2232
100108	1049	2354
100109	1316	2353
100111	1492	2262
100112	1672	2297
100113	1794	2173
100114	1843	2335
100115	2339	2162
100116	2982	2359
100117	3341	2393
100118	3789	2170
100119	3825	2233
100120	4106	2187
100121	4242	2295
100122	4675	2083
100123	310	2611
100124	566	2622
100125	842	2472
100126	1160	2571
100127	1212	2544
100128	1370	2433
100129	1737	2554
100130	1957	2435
100131	1835	2460
100132	2592	2490
100133	2691	2487
100134	2994	2460
100135	3042	2401
100136	3446	2613
100138	3750	2426
100139	4405	2358
100140	4218	2508
100141	4761	2451
100142	4736	2431
100143	404	2856
100144	668	2822
100145	999	2771
100146	1250	2763
100147	1663	2630
100149	2405	2724
100150	2706	2791
100151	2693	2619
100152	3118	2656
100153	3216	2816
100154	3493	2741
100155	3409	2792
100156	3669	2716
100158	4318	2625
100159	4635	2658
100160	4674	2622
